Breakdown of ST (MLST) by serotype:
Selected options: Display values only. 

ST (MLST)	serotype
	ND	NT	a	b	c	d	e	f	non-b	Total
1421	1									1
1422	1									1
1423		1								1
1424		1								1
1425		1								1
1426		3								3
1427		1								1
1428		1								1
1429		1								1
1430		1								1
1431		1								1
1432		1								1
1434		2								2
1435		1								1
1436		1								1
1437		1								1
1438		1								1
1439		1								1
1440		1								1
1441		1								1
1442		1								1
1443		1								1
1444		4								4
1445		6								6
1446		1								1
1448				2						2
1449		3								3
1450		1								1
1451		1								1
1452		3								3
1453		1								1
1454		1								1
1455							1			1
1456				1						1
1457		1								1
1458			1							1
1459				1						1
1460		1								1
1461		1								1
1462		1								1
1463		1								1
1464		1								1
1465		1								1
1466		1								1
1467		1								1
1468		1								1
1469		1								1
1470			1							1
1471		3								3
1472		4								4
1474		1								1
1475		1								1
1476		1								1
1477		1								1
1478		1								1
1479		3								3
1480		1								1
1481		1								1
1482		3								3
1483		1								1
1484		1								1
1485		1								1
1486		1								1
1487		1								1
1488		1								1
1489		1								1
1490		1								1
1491		1								1
1492		1								1
1493		1								1
1494		3								3
1495		1								1
1496		1								1
1497		2								2
1498		1								1
1499		1								1
1500		1								1
1501		1								1
1502		1								1
1503		1								1
1504		1								1
1505		1								1
1506		1								1
1507		1								1
1508					1					1
1509		1								1
1510		1								1
1511			2							2
1512		1								1
1513		3								3
1514		1								1
1515		1								1
1516		1								1
1517		3								3
1519	1									1
1520	1	2								3
1521	1									1
1522	1									1
1523	1	1								2
1524		4								4
1525		1								1
1526		1								1
1529		1								1
1548		1								1
1559		1								1
1563		1								1
1564		1								1
1565		4								4
1566		3								3
1567		1								1
1568		1								1
1569		1								1
1570		1								1
1571		1								1
1572		1								1
1573		1								1
1574		1								1
1575		2								2
1576		1								1
1577		1								1
1578		1								1
1579		1								1
1580		1								1
1581		1								1
1582		1								1
1583		1								1
1584		1								1
1585		1								1
1586		1								1
1587		1								1
1588		1								1
1589		2								2
1590		1								1
1591		2								2
1592		1								1
1593		2								2
1594		1								1
1595		1								1
1596		1								1
1597		1								1
1598					1					1
1599		1								1
1600	1									1
1601	1									1
1602	1									1
1603	1									1
1604	1									1
1605	1									1
1606	1									1
1607	1									1
1608		2								2
1609		1								1
1610		1								1
1611		2								2
1612		2								2
1613		1								1
1614		1								1
1615							1			1
1616		1								1
1617	1									1
1618	1	3								4
1619	1									1
1620		1								1
1621		2								2
1622		3								3
1623		1								1
1624		1								1
1625		1								1
1626		1								1
1627		1								1
1628		2								2
1629		1								1
1630		1								1
1631		1								1
1632		1								1
1633		1								1
1634		2								2
1635		1								1
1636		1								1
1637		4								4
1638		1								1
1639		1								1
1640		1								1
1641		1								1
1642		4								4
1643		1								1
1644		1								1
1645		4								4
1646		1								1
1647		1								1
1648		1								1
1649		1								1
1650		1								1
1651		1								1
1652		2								2
1653		2								2
1654		1								1
1655				2						2
1656		1								1
1657				1						1
1658		1								1
1659		2								2
1660	1									1
1661	1									1
1662	1									1
1663				5						5
1664		1								1
1665		2			1					3
1666		2								2
1667	1									1
1668	1									1
1669		1								1
1670		4								4
1671		2								2
1672		1								1
1673		1								1
1674		1								1
1675	1									1
1676	1									1
1677	1									1
1678		1								1
1679		1								1
1680		1								1
1681		2								2
1682		1								1
1683		3								3
1684		1								1
1685		1								1
